County,1929_RUNNING,1931_RUNNING,1933_RUNNING,1935_RUNNING,1937_RUNNING,1939_RUNNING,1941_RUNNING,1943_RUNNING,1945_RUNNING,1947_RUNNING,1949_RUNNING,1951_RUNNING,1953_RUNNING,1955_RUNNING,1957_RUNNING,1959_RUNNING,1961_RUNNING,1963_RUNNING,1965_RUNNING,1967_RUNNING,1969_RUNNING,1971_RUNNING,1973_RUNNING,1975_RUNNING,1977_RUNNING,1979_RUNNING,1981_RUNNING,1983_RUNNING,1985_RUNNING,1987_RUNNING,1989_RUNNING,1991_RUNNING,1993_RUNNING,1995_RUNNING,1997_RUNNING,1999_RUNNING,2001_RUNNING,2003_RUNNING,2005_RUNNING,2007_RUNNING,2009_RUNNING,2011_RUNNING,2013_RUNNING,2015_RUNNING,2017_RUNNING,2019_RUNNING,1929_REPS_RUNNING,1931_REPS_RUNNING,1933_REPS_RUNNING,1935_REPS_RUNNING,1937_REPS_RUNNING,1939_REPS_RUNNING,1941_REPS_RUNNING,1943_REPS_RUNNING,1945_REPS_RUNNING,1947_REPS_RUNNING,1949_REPS_RUNNING,1951_REPS_RUNNING,1953_REPS_RUNNING,1955_REPS_RUNNING,1957_REPS_RUNNING,1959_REPS_RUNNING,1961_REPS_RUNNING,1963_REPS_RUNNING,1965_REPS_RUNNING,1967_REPS_RUNNING,1969_REPS_RUNNING,1971_REPS_RUNNING,1973_REPS_RUNNING,1975_REPS_RUNNING,1977_REPS_RUNNING,1979_REPS_RUNNING,1981_REPS_RUNNING,1983_REPS_RUNNING,1985_REPS_RUNNING,1987_REPS_RUNNING,1989_REPS_RUNNING,1991_REPS_RUNNING,1993_REPS_RUNNING,1995_REPS_RUNNING,1997_REPS_RUNNING,1999_REPS_RUNNING,2001_REPS_RUNNING,2003_REPS_RUNNING,2005_REPS_RUNNING,2007_REPS_RUNNING,2009_REPS_RUNNING,2011_REPS_RUNNING,2013_REPS_RUNNING,2015_REPS_RUNNING,2017_REPS_RUNNING,2019_REPS_RUNNING
Linn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,4,5,5,5,6,6,6,6,7,7,7,9,9,9,10,11,13,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Joan M. Lipsky, Republican, 1967–1979","Joan M. Lipsky, Republican, 1967–1979","Joan M. Lipsky, Republican, 1967–1979","Joan M. Lipsky, Republican, 1967–1979","Joan M. Lipsky, Republican, 1967–1979","Joan M. Lipsky, Republican, 1967–1979","Joan M. Lipsky, Republican, 1967–1979","Joan M. Lipsky, Republican, 1967–1979","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001; Swati A. Dandekar, Democrat, 2003–2009","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001; Swati A. Dandekar, Democrat, 2003–2009","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001; Swati A. Dandekar, Democrat, 2003–2009","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001; Swati A. Dandekar, Democrat, 2003–2009; Kirsten Running–Marquardt, Democrat, 2009–2021; Renee Schulte, Republican, 2009–2013","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001; Swati A. Dandekar, Democrat, 2003–2009; Kirsten Running–Marquardt, Democrat, 2009–2021; Renee Schulte, Republican, 2009–2013","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001; Swati A. Dandekar, Democrat, 2003–2009; Kirsten Running–Marquardt, Democrat, 2009–2021; Renee Schulte, Republican, 2009–2013","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001; Swati A. Dandekar, Democrat, 2003–2009; Kirsten Running–Marquardt, Democrat, 2009–2021; Renee Schulte, Republican, 2009–2013; Liz Bennett, Democrat, 2015–2021","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001; Swati A. Dandekar, Democrat, 2003–2009; Kirsten Running–Marquardt, Democrat, 2009–2021; Renee Schulte, Republican, 2009–2013; Liz Bennett, Democrat, 2015–2021; Ashley Hinson, Republican, 2017–2021","Joan M. Lipsky, Republican, 1967–1979; Doris A. Peick, Democrat, 1983–1987; Kathleen H. Chapman, Democrat, 1983–1993, 1997–2001; Mary A. Lundby, Republican, 1987–1995; Joyce Nielsen, Democrat, 1989–1993; Rosemary R. Thomson, Republican, 1995–2001; Swati A. Dandekar, Democrat, 2003–2009; Kirsten Running–Marquardt, Democrat, 2009–2021; Renee Schulte, Republican, 2009–2013; Liz Bennett, Democrat, 2015–2021; Ashley Hinson, Republican, 2017–2021; Molly Erin Donahue, Democrat, 2019–2021; Tracy Ehlert, Democrat, 2019–2021"
Louisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Lucas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Jodi S. Tymeson, Republican, 2001–2011","Jodi S. Tymeson, Republican, 2001–2011","Jodi S. Tymeson, Republican, 2001–2011","Jodi S. Tymeson, Republican, 2001–2011","Jodi S. Tymeson, Republican, 2001–2011","Jodi S. Tymeson, Republican, 2001–2011","Jodi S. Tymeson, Republican, 2001–2011","Jodi S. Tymeson, Republican, 2001–2011","Jodi S. Tymeson, Republican, 2001–2011","Jodi S. Tymeson, Republican, 2001–2011"
Mahaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Betty R. De Boef, Republican, 2001–2013","Betty R. De Boef, Republican, 2001–2013","Betty R. De Boef, Republican, 2001–2013","Betty R. De Boef, Republican, 2001–2013","Betty R. De Boef, Republican, 2001–2013","Betty R. De Boef, Republican, 2001–2013","Betty R. De Boef, Republican, 2001–2013","Betty R. De Boef, Republican, 2001–2013","Betty R. De Boef, Republican, 2001–2013","Betty R. De Boef, Republican, 2001–2013; Holly Brink, Republican, 2019–2021"
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001","Elizabeth R. Miller, Republican, 1969–1973; Beverly J. Nelson Forbes, Republican, 1995–2001"
Mills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Monona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965","Katherine M. Falvey, Democrat, 1959–1965"
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Muscatine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Betty A. Hoffmann–Bright, Republican, 1977–1985","Betty A. Hoffmann–Bright, Republican, 1977–1985","Betty A. Hoffmann–Bright, Republican, 1977–1985","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987","Betty A. Hoffmann–Bright, Republican, 1977–1985; Janis I. Torrence, Republican, 1983–1987"
Obrien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Osceola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Effie Lee Boggess, Republican, 1999–2005","Effie Lee Boggess, Republican, 1999–2005","Effie Lee Boggess, Republican, 1999–2005","Effie Lee Boggess, Republican, 1999–2005","Effie Lee Boggess, Republican, 1999–2005","Effie Lee Boggess, Republican, 1999–2005","Effie Lee Boggess, Republican, 1999–2005","Effie Lee Boggess, Republican, 1999–2005","Effie Lee Boggess, Republican, 1999–2005","Effie Lee Boggess, Republican, 1999–2005","Effie Lee Boggess, Republican, 1999–2005"
Palo Alto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011","Marcella R. Frevert, Democrat, 1997–2011"
